City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
2,Klaeng,TH,75.99,clear sky,12.7797,101.6483,Damrongcheep in Resort
7,Bogo,PH,81.73,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
10,Rikitea,PF,78.78,scattered clouds,-23.1203,-134.9692,Pension Maro'i
11,Hithadhoo,MV,81.36,scattered clouds,-0.6,73.0833,Scoop Guest House
13,Samarai,PG,86.5,broken clouds,-10.6167,150.6667,Nuli Sapi
16,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Mataura,NZ,80.42,clear sky,-46.1927,168.8643,Ellie's Villa
24,Kilindoni,TZ,81.36,overcast clouds,-7.9139,39.6668,Bustani B&B
25,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
27,Catuday,PH,79.86,overcast clouds,16.2923,119.8062,GResort
45,Banjar,ID,82.4,few clouds,-8.19,114.9675,The Hamsa Resort
49,Kismayo,SO,75.72,clear sky,-0.3582,42.5454,Agan-Hotel
50,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Oeiras,BR,75.92,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
60,Carnarvon,AU,84.2,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
62,Isangel,VU,86.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
63,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
81,Saint-Philippe,RE,78.8,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
91,Sarangani,PH,81.59,overcast clouds,5.4033,125.4636,Ballistic Islet
92,Avarua,CK,86.0,scattered clouds,-21.2078,-159.775,Paradise Inn
93,Zaraza,VE,75.76,overcast clouds,9.3503,-65.3245,Hotel Zaraza
94,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
95,Vanimo,PG,82.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
96,Bengkulu,ID,79.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
97,Orodara,BF,75.2,overcast clouds,10.9492,-4.9342,Bkf Orodara
100,Meulaboh,ID,76.89,broken clouds,4.1363,96.1285,Kost Pria
101,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
103,Dingle,PH,80.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
114,Bambanglipuro,ID,80.85,clear sky,-7.95,110.2833,Puri Brata
115,San Carlos De Bariloche,AR,75.2,clear sky,-41.1456,-71.3082,Hotel Patagonia
116,Namatanai,PG,86.18,overcast clouds,-3.6667,152.4333,Namatanai Hotel
121,Koungou,YT,80.6,clear sky,-12.7336,45.2042,Villa Netibor
122,Marawi,PH,81.0,scattered clouds,7.9986,124.2928,Derogongan Residence
139,Te Anau,NZ,75.29,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
141,Ilheus,BR,82.4,scattered clouds,-14.7889,-39.0494,Pontal Praia Hotel
143,Sri Aman,MY,77.0,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
146,Sassandra,CI,78.37,clear sky,4.95,-6.0833,la terrasse
150,Innisfail,AU,86.83,overcast clouds,-17.5333,146.0333,Moondarra Motel
151,Pocinhos,BR,75.2,clear sky,-7.0767,-36.0611,Kemelly
152,Tabuk,PH,76.59,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
157,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Bubaque,GW,78.8,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
159,Gurupa,BR,76.8,clear sky,-1.405,-51.64,Residencial DWD
161,Mackay,AU,90.0,scattered clouds,-21.15,149.2,International Lodge Motel
166,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
169,Maitum,PH,82.4,broken clouds,6.0392,124.4986,Pearl Garden
179,Monrovia,LR,75.2,few clouds,6.3005,-10.7969,Sunset Inn
180,Madang,PG,83.07,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
182,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
183,Santarem,BR,77.0,clear sky,-2.4431,-54.7083,Hotel Imperador
188,Ngerengere,TZ,75.2,broken clouds,-6.75,38.1167,
192,Maragogi,BR,77.79,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
193,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
196,Mattru,SL,75.47,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
198,Sungairaya,ID,81.39,broken clouds,0.7,108.9,Mess P.Milu
199,Inverell,AU,84.99,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
208,Carutapera,BR,78.87,scattered clouds,-1.195,-46.02,Lidera
209,Cayenne,GF,77.0,fog,4.9333,-52.3333,Hôtel Le Dronmi
210,Kintampo,GH,78.03,few clouds,8.0563,-1.7306,Adomaa Memorial Hotel
213,Moerai,PF,81.84,clear sky,-22.4333,-151.3333,Le Manotel
223,Palauig,PH,82.99,clear sky,15.435,119.9045,Myhousebythesea
224,Bartica,GY,75.2,few clouds,6.4,-58.6167,Relax Inn Hotel
228,Axim,GH,79.36,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
230,San Cristobal,VE,82.4,overcast clouds,7.7669,-72.225,Pirineos
232,Nhulunbuy,AU,86.0,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
233,Alice Springs,AU,84.99,clear sky,-23.7,133.8833,Desert Palms Alice Springs
239,Atuona,PF,80.13,broken clouds,-9.8,-139.0333,Villa Enata
240,Vao,NC,78.39,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
242,Neuquen,AR,78.8,clear sky,-38.9516,-68.0591,Hotel del Comahue
244,Sorong,ID,82.17,overcast clouds,-0.8833,131.25,The Waigo Hotel
255,Inhambane,MZ,76.69,overcast clouds,-23.865,35.3833,Oceano
257,Charters Towers,AU,86.36,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
264,San Pedro,PH,84.99,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
275,Atambua,ID,79.75,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
277,Baracoa,CU,76.01,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
279,Faanui,PF,82.6,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
280,Oshakati,,76.64,overcast clouds,-17.7833,15.6833,Oshakati Guest Hotel
285,Harper,LR,79.16,clear sky,4.375,-7.7169,Screensaver
286,Banda Aceh,ID,79.7,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
290,Klang,MY,78.01,haze,3.0333,101.45,Euro Hotel
295,Port Macquarie,AU,84.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
299,Wewak,PG,81.81,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
300,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
303,Mapiripan,CO,75.4,overcast clouds,2.8892,-72.1256,Monserrate
304,San Fernando,PH,82.4,broken clouds,15.0286,120.6898,Maharlika Hostel
307,Karratha,AU,81.79,few clouds,-20.7377,116.8463,ibis Styles Karratha
312,Mareeba,AU,90.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
313,El Real De Santa Maria,PA,77.85,overcast clouds,8.109,-77.7325,
323,Tual,ID,84.04,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
329,Wenchi,GH,76.73,clear sky,7.7392,-2.1046,Ebenezer Hotel
330,Vung Tau,VN,77.11,broken clouds,10.345999999999998,107.0843,Seaside Resort
336,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
338,Barra Velha,BR,75.2,clear sky,-26.6322,-48.6847,Vila Alaide Praia Hotel
341,Buala,SB,79.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
343,Yulara,AU,86.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
348,Okitipupa,NG,77.25,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
355,Katobu,ID,83.5,overcast clouds,-4.9408,122.5276,La Ode Husein
360,Kavieng,PG,85.21,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
363,Saint Peter,BB,77.0,few clouds,13.25,-59.6167,Legend Garden Condos
369,Pemangkat,ID,79.79,light rain,1.1667,108.9667,Kost H.Syamsuddin
373,Denpasar,ID,82.4,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
375,San Policarpo,PH,80.82,overcast clouds,12.1791,125.5072,JM Lodge
378,Caucaia,BR,81.0,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
380,Porto Walter,BR,76.17,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
386,Marsh Harbour,BS,75.09,clear sky,26.5412,-77.0636,Abaco Beach Resort
393,Vaitape,PF,82.85,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
397,Hervey Bay,AU,90.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
413,Banfora,BF,80.69,broken clouds,10.6333,-4.7667,Residences David Hebié
419,Lorengau,PG,85.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
421,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
423,Santa Rosa,PH,84.99,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
429,La Romana,DO,75.2,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
438,Dunmore Town,BS,75.72,clear sky,25.5,-76.65,Coral Sands Hotel
439,Kavaratti,IN,81.21,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
440,Kualakapuas,ID,78.8,moderate rain,-3.0091,114.3876,Guest House Izonk
441,Kirakira,SB,79.74,overcast clouds,-10.4544,161.9205,SanBiz Lodge
443,Sao Jose Da Coroa Grande,BR,78.1,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
446,Jember,ID,83.08,few clouds,-8.166,113.7032,Cempaka Hill Hotel Jember
456,Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
457,Oros,BR,80.42,clear sky,-6.2444,-38.9136,Pousada Orós
459,Beira,MZ,84.2,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
464,Flinders,AU,82.99,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
474,Auki,SB,76.44,light rain,-8.7676,160.7034,Auki Motel
476,Waingapu,ID,83.7,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
478,Santa Fe,AR,75.99,clear sky,-31.6333,-60.7,Conquistador Hotel
483,Feijo,BR,75.15,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
484,Calceta,EC,80.6,light rain,-0.85,-80.1667,"Hostal ""San Placido"""
486,Custodia,BR,77.32,few clouds,-8.0875,-37.6431,Hotel do Sertão
487,Manavalakurichi,IN,77.0,mist,8.1333,77.3,Udaya Boys Hostel
488,Isabela,PH,82.4,broken clouds,6.7085,121.9711,Isawad Resort
492,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
499,Coolum Beach,AU,89.01,clear sky,-26.5333,153.1,Palmer Coolum Resort
501,Luwuk,ID,84.83,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
506,Camocim,BR,79.39,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
514,Pontianak,ID,78.8,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
517,Xai-Xai,MZ,75.45,overcast clouds,-25.0519,33.6442,Complexo da Familia
518,Lucea,JM,82.4,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
520,Port Hedland,AU,86.0,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
522,Acapulco,MX,80.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
538,Fare,PF,82.54,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
541,Kiama,AU,82.99,few clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
545,Sibolga,ID,78.62,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
547,Puerto Ayacucho,VE,83.14,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
549,Nacala,MZ,75.76,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
551,Mayumba,GA,79.45,light rain,-3.432,10.6554,LIKWALE LODGE
553,Mount Isa,AU,77.0,moderate rain,-20.7333,139.5,ibis Styles Mt Isa Verona
554,Tondano,ID,78.8,scattered clouds,1.3038,124.9112,Villa Bella
555,Laje,BR,75.76,clear sky,-10.1833,-40.9667,Pousada Centro
557,Galesong,ID,78.8,few clouds,-5.3166,119.3661,Sapriadi Appy
558,Robertsport,LR,80.73,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
563,Tabou,CI,78.71,clear sky,4.423,-7.3528,hotêl doufoulougou
564,Soyo,AO,79.66,overcast clouds,-6.1349,12.3689,Hotel Mpampa
570,Tucuman,AR,78.8,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
571,Kalmunai,LK,76.33,few clouds,7.4167,81.8167,VS Villa
575,Thinadhoo,MV,81.28,clear sky,0.5333,72.9333,
576,Kudahuvadhoo,MV,80.87,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
589,Port Blair,IN,78.93,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
590,Piacabucu,BR,79.07,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
593,Nelson Bay,AU,80.6,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
594,Santa Isabel Do Rio Negro,BR,76.5,scattered clouds,-0.4139,-65.0192,Hotel GSA
603,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
605,Maningrida,AU,81.9,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
606,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
608,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
616,Sinnamary,GF,77.58,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
618,San Juan,AR,85.32,clear sky,-31.5375,-68.5364,Hotel Provincial
623,Balaipungut,ID,77.0,scattered clouds,1.05,101.2833,
625,Payo,ID,75.45,light rain,-3.7508,103.6372,Mess keban agung
629,Ifo,NG,79.77,broken clouds,6.8144,3.1958,Peace Land Hotel
640,Ugoofaaru,MV,81.39,few clouds,5.6667,73.0,Ungoofaaru Inn
647,Mudgee,AU,75.0,broken clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
648,Tagusao,PH,80.96,overcast clouds,9.1924,117.8141,Toledo
651,Kingaroy,AU,86.0,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
655,Mayor Pablo Lagerenza,PY,75.15,broken clouds,-19.9309,-60.7718,
656,Ballina,AU,84.2,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
657,Dhidhdhoo,MV,81.3,clear sky,6.8833,73.1,Dhidhoo beach
663,Male,MV,80.6,few clouds,4.1748,73.5089,Hotel Octave Maldives
668,Labuhan,ID,81.66,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
670,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
672,Buchanan,LR,75.2,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
684,Mata Grande,BR,77.99,overcast clouds,-9.1175,-37.7322,Hotel Casarão
685,Miri,MY,78.8,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
689,Abangay,PH,80.65,scattered clouds,10.9667,122.65,OYO 236 Hotel Edmundo
691,Gorontalo,ID,82.9,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
692,Neiafu,TO,78.8,moderate rain,-18.65,-173.9833,Mystic Sands
694,Jocoro,SV,76.21,clear sky,13.6167,-88.0167,Bambiu_22
696,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
